0	0	0	0	0	0
256	0	0	207	11	4
512	0	0	413	22	8
768	0	0	620	33	12
1024	0	0	827	44	16
1280	0	0	1034	55	20
1536	0	0	1240	66	24
1792	0	0	1447	77	28
2048	0	0	1654	88	33
2303	0	0	1860	99	37
2559	0	0	2067	110	41
2815	0	0	2273	121	45
3071	0	0	2480	132	49
3327	0	0	2687	143	53
3583	0	0	2894	154	57
3839	0	0	3100	165	61
4095	0	0	3307	176	65
0	256	0	49	234	17
256	256	0	256	245	21
512	256	0	463	256	25
768	256	0	669	267	30
1024	256	0	876	278	34
1280	256	0	1083	289	38
1536	256	0	1290	300	42
1792	256	0	1496	311	46
2048	256	0	1703	322	50
2303	256	0	1909	333	54
2559	256	0	2116	344	58
2815	256	0	2323	355	62
3071	256	0	2529	366	66
3327	256	0	2736	377	70
3583	256	0	2943	388	74
3839	256	0	3150	399	78
4095	256	0	3356	410	82
0	512	0	99	467	35
256	512	0	305	478	39
512	512	0	512	489	43
768	512	0	719	500	47
1024	512	0	925	511	51
1280	512	0	1132	522	55
1536	512	0	1339	533	59
1792	512	0	1546	544	63
2048	512	0	1752	555	67
2303	512	0	1958	566	71
2559	512	0	2165	577	75
2815	512	0	2372	588	79
3071	512	0	2579	599	83
3327	512	0	2785	610	87
3583	512	0	2992	621	92
3839	512	0	3199	632	96
4095	512	0	3406	643	100
0	768	0	148	701	52
256	768	0	355	712	56
512	768	0	561	723	60
768	768	0	768	734	64
1024	768	0	975	745	68
1280	768	0	1181	756	72
1536	768	0	1388	767	76
1792	768	0	1595	778	80
2048	768	0	1802	789	84
2303	768	0	2008	800	89
2559	768	0	2214	811	93
2815	768	0	2421	822	97
3071	768	0	2628	833	101
3327	768	0	2835	844	105
3583	768	0	3041	855	109
3839	768	0	3248	866	113
4095	768	0	3455	877	117
0	1024	0	197	935	69
256	1024	0	404	946	73
512	1024	0	611	957	77
768	1024	0	817	968	81
1024	1024	0	1024	979	85
1280	1024	0	1231	990	90
1536	1024	0	1437	1001	94
1792	1024	0	1644	1012	98
